Region,Year,BMI Category,Proportion
South-eastern Asia,2007,Overweight or Obese (NCDRisC (2017)),19.6
South-eastern Asia,2007,Underweight (NCDRisC (2017)),14.6
South-eastern Asia,2008,Healthy (NCDRisC (2017)),65.5
South-eastern Asia,2008,Overweight or Obese (NCDRisC (2017)),20.3
South-eastern Asia,2008,Underweight (NCDRisC (2017)),14.2
South-eastern Asia,2009,Healthy (NCDRisC (2017)),65.2
South-eastern Asia,2009,Overweight or Obese (NCDRisC (2017)),20.9
South-eastern Asia,2009,Underweight (NCDRisC (2017)),13.9
South-eastern Asia,2010,Healthy (NCDRisC (2017)),64.8
South-eastern Asia,2010,Overweight or Obese (NCDRisC (2017)),21.6
South-eastern Asia,2010,Underweight (NCDRisC (2017)),13.6
South-eastern Asia,2011,Healthy (NCDRisC (2017)),64.5
South-eastern Asia,2011,Overweight or Obese (NCDRisC (2017)),22.3
South-eastern Asia,2011,Underweight (NCDRisC (2017)),13.2
South-eastern Asia,2012,Healthy (NCDRisC (2017)),64.1
South-eastern Asia,2012,Overweight or Obese (NCDRisC (2017)),23.0
South-eastern Asia,2012,Underweight (NCDRisC (2017)),12.9
South-eastern Asia,2013,Healthy (NCDRisC (2017)),63.7
South-eastern Asia,2013,Overweight or Obese (NCDRisC (2017)),23.7
South-eastern Asia,2013,Underweight (NCDRisC (2017)),12.6
South-eastern Asia,2014,Healthy (NCDRisC (2017)),63.2
South-eastern Asia,2014,Overweight or Obese (NCDRisC (2017)),24.5
South-eastern Asia,2014,Underweight (NCDRisC (2017)),12.3
Southern Asia,2000,Healthy (NCDRisC (2017)),64.0
Southern Asia,2000,Overweight or Obese (NCDRisC (2017)),15.6
Southern Asia,2000,Underweight (NCDRisC (2017)),20.3
Southern Asia,2001,Healthy (NCDRisC (2017)),64.0
Southern Asia,2001,Overweight or Obese (NCDRisC (2017)),16.0
Southern Asia,2001,Underweight (NCDRisC (2017)),20.0
Southern Asia,2002,Healthy (NCDRisC (2017)),63.9
Southern Asia,2002,Overweight or Obese (NCDRisC (2017)),16.4
Southern Asia,2002,Underweight (NCDRisC (2017)),19.7
Southern Asia,2003,Healthy (NCDRisC (2017)),63.7
Southern Asia,2003,Overweight or Obese (NCDRisC (2017)),16.8
Southern Asia,2003,Underweight (NCDRisC (2017)),19.4
Southern Asia,2004,Healthy (NCDRisC (2017)),63.6
Southern Asia,2004,Overweight or Obese (NCDRisC (2017)),17.2
Southern Asia,2004,Underweight (NCDRisC (2017)),19.1
Southern Asia,2005,Healthy (NCDRisC (2017)),63.5
Southern Asia,2005,Overweight or Obese (NCDRisC (2017)),17.7
Southern Asia,2005,Underweight (NCDRisC (2017)),18.9
Southern Asia,2006,Healthy (NCDRisC (2017)),63.3
Southern Asia,2006,Overweight or Obese (NCDRisC (2017)),18.1
Southern Asia,2006,Underweight (NCDRisC (2017)),18.6
Southern Asia,2007,Healthy (NCDRisC (2017)),63.1
Southern Asia,2007,Overweight or Obese (NCDRisC (2017)),18.6
Southern Asia,2007,Underweight (NCDRisC (2017)),18.3
Southern Asia,2008,Healthy (NCDRisC (2017)),62.9
Southern Asia,2008,Overweight or Obese (NCDRisC (2017)),19.2
Southern Asia,2008,Underweight (NCDRisC (2017)),17.9
Southern Asia,2009,Healthy (NCDRisC (2017)),62.7
Southern Asia,2009,Overweight or Obese (NCDRisC (2017)),19.7
Southern Asia,2009,Underweight (NCDRisC (2017)),17.6
Southern Asia,2010,Healthy (NCDRisC (2017)),62.4
Southern Asia,2010,Overweight or Obese (NCDRisC (2017)),20.3
Southern Asia,2010,Underweight (NCDRisC (2017)),17.3
Southern Asia,2011,Healthy (NCDRisC (2017)),62.2
Southern Asia,2011,Overweight or Obese (NCDRisC (2017)),20.9
Southern Asia,2011,Underweight (NCDRisC (2017)),17.0
Southern Asia,2012,Healthy (NCDRisC (2017)),61.9
Southern Asia,2012,Overweight or Obese (NCDRisC (2017)),21.5
Southern Asia,2012,Underweight (NCDRisC (2017)),16.7
Southern Asia,2013,Healthy (NCDRisC (2017)),61.6
Southern Asia,2013,Overweight or Obese (NCDRisC (2017)),22.1
Southern Asia,2013,Underweight (NCDRisC (2017)),16.4
Southern Asia,2014,Healthy (NCDRisC (2017)),61.3
Southern Asia,2014,Overweight or Obese (NCDRisC (2017)),22.7
Southern Asia,2014,Underweight (NCDRisC (2017)),16.0
Western Asia,2000,Healthy (NCDRisC (2017)),45.6
Western Asia,2000,Overweight or Obese (NCDRisC (2017)),51.4
Western Asia,2000,Underweight (NCDRisC (2017)),3.0
Western Asia,2001,Healthy (NCDRisC (2017)),45.1
Western Asia,2001,Overweight or Obese (NCDRisC (2017)),52.0
Western Asia,2001,Underweight (NCDRisC (2017)),2.9
Western Asia,2002,Healthy (NCDRisC (2017)),44.6
Western Asia,2002,Overweight or Obese (NCDRisC (2017)),52.7
Western Asia,2002,Underweight (NCDRisC (2017)),2.8
Western Asia,2003,Healthy (NCDRisC (2017)),44.0
Western Asia,2003,Overweight or Obese (NCDRisC (2017)),53.3
Western Asia,2003,Underweight (NCDRisC (2017)),2.7
Western Asia,2004,Healthy (NCDRisC (2017)),43.5
Western Asia,2004,Overweight or Obese (NCDRisC (2017)),54.0
Western Asia,2004,Underweight (NCDRisC (2017)),2.6
Western Asia,2005,Healthy (NCDRisC (2017)),42.9
Western Asia,2005,Overweight or Obese (NCDRisC (2017)),54.7
Western Asia,2005,Underweight (NCDRisC (2017)),2.4
Western Asia,2006,Healthy (NCDRisC (2017)),42.3
Western Asia,2006,Overweight or Obese (NCDRisC (2017)),55.4
Western Asia,2006,Underweight (NCDRisC (2017)),2.3
Western Asia,2007,Healthy (NCDRisC (2017)),41.7
Western Asia,2007,Overweight or Obese (NCDRisC (2017)),56.1
Western Asia,2007,Underweight (NCDRisC (2017)),2.2
Western Asia,2008,Healthy (NCDRisC (2017)),41.1
Western Asia,2008,Overweight or Obese (NCDRisC (2017)),56.7
Western Asia,2008,Underweight (NCDRisC (2017)),2.1
Western Asia,2009,Healthy (NCDRisC (2017)),40.6
Western Asia,2009,Overweight or Obese (NCDRisC (2017)),57.4
Western Asia,2009,Underweight (NCDRisC (2017)),2.0
Western Asia,2010,Healthy (NCDRisC (2017)),40.0
Western Asia,2010,Overweight or Obese (NCDRisC (2017)),58.0
Western Asia,2010,Underweight (NCDRisC (2017)),2.0
Western Asia,2011,Healthy (NCDRisC (2017)),39.5
Western Asia,2011,Overweight or Obese (NCDRisC (2017)),58.6
Western Asia,2011,Underweight (NCDRisC (2017)),1.9
Western Asia,2012,Healthy (NCDRisC (2017)),38.9
Western Asia,2012,Overweight or Obese (NCDRisC (2017)),59.2
Western Asia,2012,Underweight (NCDRisC (2017)),1.8
Western Asia,2013,Healthy (NCDRisC (2017)),38.4
Western Asia,2013,Overweight or Obese (NCDRisC (2017)),59.8
Western Asia,2013,Underweight (NCDRisC (2017)),1.7
Western Asia,2014,Healthy (NCDRisC (2017)),37.9
Western Asia,2014,Overweight or Obese (NCDRisC (2017)),60.4
Western Asia,2014,Underweight (NCDRisC (2017)),1.7
